/home/allenhaozhu/anaconda3/bin/python /home/allenhaozhu/Downloads/COLES-Neurips2021/train_ssgc_pubmed.py
tensor(-0.0054, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-0.0757, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-0.2277, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-0.4860, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-0.8609, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-1.3612, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-1.9952, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-2.7704, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-3.6947, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-4.7754, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-6.0199, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-7.4357, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-9.0299, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-10.8099, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-12.7828, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-14.9558, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-17.3359, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-19.9302, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-22.7457, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-25.7893, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-29.0676, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-32.5876, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-36.3557, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-40.3785, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-44.6624, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-49.2137, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-54.0385, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-59.1430, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-64.5330, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-70.2144, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-76.1929, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-82.4740, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-89.0630, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-95.9653, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-103.1860, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-110.7300, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-118.6022, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-126.8073, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-135.3499, device='cuda:0', grad_fn=<DivBackward0>)
tensor(-144.2344, device='cuda:0', grad_fn=<DivBackward0>)
7.170743802999823
Test Accuracy: 0.7810379139664234
Test Accuracy: 0.8074195029851507
Test Accuracy: 0.737765984589478
Test Accuracy: 0.7567995101291014
Test Accuracy: 0.7709343266826555
Test Accuracy: 0.791294585906006
Test Accuracy: 0.7379700974638975
Test Accuracy: 0.7517987447058223
Test Accuracy: 0.7567995101291014
Test Accuracy: 0.7483288258406899
Test Accuracy: 0.7947645047711385
Test Accuracy: 0.746440781752309
Test Accuracy: 0.7997142419758126
Test Accuracy: 0.7678726335663622
Test Accuracy: 0.8063479103944481
Test Accuracy: 0.7837934377710875
Test Accuracy: 0.7706791855896311
Test Accuracy: 0.7335816706638771
Test Accuracy: 0.7839975506455069
Test Accuracy: 0.7924682349339185
Test Accuracy: 0.7764964025105884
Test Accuracy: 0.7550645506965352
Test Accuracy: 0.7933867428688065
Test Accuracy: 0.7721590039291728
Test Accuracy: 0.765678420166352
Test Accuracy: 0.7752206970454661
Test Accuracy: 0.7752206970454661
Test Accuracy: 0.7756799510129101
Test Accuracy: 0.7591468081849263
Test Accuracy: 0.7958360973618411
Test Accuracy: 0.7779762208501301
Test Accuracy: 0.7926213195897331
Test Accuracy: 0.781242026840843
Test Accuracy: 0.7637903760779711
Test Accuracy: 0.7559830586314231
Test Accuracy: 0.79405010971067
Test Accuracy: 0.7690462825942747
Test Accuracy: 0.7979282543246415
Test Accuracy: 0.7795580956268817
Test Accuracy: 0.7397560851150686
Test Accuracy: 0.7866510180129612
Test Accuracy: 0.7973669439199877
Test Accuracy: 0.7713935806500996
Test Accuracy: 0.7875184977292443
Test Accuracy: 0.7816502525896821
Test Accuracy: 0.7700668469663724
Test Accuracy: 0.7941521661478798
Test Accuracy: 0.7697096494361382
Test Accuracy: 0.785375312547839
Test Accuracy: 0.7360820533755167
